Index,Title,Type,Episodes,Ongoing,Release Season,Start Year,End Year
1,Fullmetal Alchemist: Brotherhood,TV,64,false,Spring,2009-01-01 00:00:00,2010-01-01 00:00:00
2,your name.,Movie,1,false,,2016-01-01 00:00:00,2016-01-01 00:00:00
3,A Silent Voice,Movie,1,false,,2016-01-01 00:00:00,2016-01-01 00:00:00
4,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,TV,10,false,Fall,2016-01-01 00:00:00,2016-01-01 00:00:00
5,Attack on Titan 3rd Season: Part II,TV,10,false,Spring,2019-01-01 00:00:00,2019-01-01 00:00:00
6,Demon Slayer: Kimetsu no Yaiba,TV,26,false,Spring,2019-01-01 00:00:00,2019-01-01 00:00:00
7,Haikyuu!! Second Season,TV,25,false,Fall,2015-01-01 00:00:00,2016-01-01 00:00:00
8,Hunter x Hunter (2011),TV,148,false,Fall,2011-01-01 00:00:00,2014-01-01 00:00:00
9,Gintama Kanketsu-hen: Yorozuya yo Eien Nare,Movie,1,false,,2013-01-01 00:00:00,2013-01-01 00:00:00
10,Gintama (2015),TV,51,false,Spring,2015-01-01 00:00:00,2016-01-01 00:00:00
11,Mob Psycho 100 II,TV,13,false,Winter,2019-01-01 00:00:00,2019-01-01 00:00:00
12,Steins;Gate,TV,24,false,Spring,2011-01-01 00:00:00,2011-01-01 00:00:00
13,Code Geass: Lelouch of the Rebellion R2,TV,25,false,Spring,2008-01-01 00:00:00,2008-01-01 00:00:00
14,Kaguya-sama: Love Is War?,TV,10,true,Spring,2020-01-01 00:00:00,
15,Haikyuu!! To the Top,TV,13,false,Winter,2020-01-01 00:00:00,2020-01-01 00:00:00
16,The Promised Neverland,TV,12,false,Winter,2019-01-01 00:00:00,2019-01-01 00:00:00
17,My Hero Academia 3,TV,25,false,Spring,2018-01-01 00:00:00,2018-01-01 00:00:00
18,March Comes in like a Lion 2nd Season,TV,22,false,Fall,2017-01-01 00:00:00,2018-01-01 00:00:00
19,Mushishi Zoku Shou 2nd Season,TV,10,false,Fall,2014-01-01 00:00:00,2014-01-01 00:00:00
20,My Hero Academia 2,TV,25,false,Spring,2017-01-01 00:00:00,2017-01-01 00:00:00
21,Natsume's Book of Friends Season 6,TV,11,false,Spring,2017-01-01 00:00:00,2017-01-01 00:00:00
22,Gintama',TV,51,false,Spring,2011-01-01 00:00:00,2012-01-01 00:00:00
23,Gintama.: Shirogane no Tamashii-hen 2,TV,14,false,Summer,2018-01-01 00:00:00,2018-01-01 00:00:00
24,Gintama.,TV,12,false,Winter,2017-01-01 00:00:00,2017-01-01 00:00:00
25,Gintama': Enchousen,TV,13,false,Fall,2012-01-01 00:00:00,2013-01-01 00:00:00
26,One-Punch Man,TV,12,false,Fall,2015-01-01 00:00:00,2015-01-01 00:00:00
27,Clannad After Story,TV,24,false,Fall,2008-01-01 00:00:00,2009-01-01 00:00:00
28,Spirited Away,Movie,1,false,,2001-01-01 00:00:00,2001-01-01 00:00:00
29,Vinland Saga,TV,24,false,Summer,2019-01-01 00:00:00,2019-01-01 00:00:00
30,Mushishi Zoku Shou,TV,10,false,Spring,2014-01-01 00:00:00,2014-01-01 00:00:00
31,Gintama.: Shirogane no Tamashii-hen,TV,12,false,Winter,2018-01-01 00:00:00,2018-01-01 00:00:00
32,Wolf Children,Movie,1,false,,2012-01-01 00:00:00,2012-01-01 00:00:00
33,Rascal Does Not Dream of a Dreaming Girl,Movie,1,false,,2019-01-01 00:00:00,2019-01-01 00:00:00
34,Natsume's Book of Friends Season 4,TV,13,false,Winter,2012-01-01 00:00:00,2012-01-01 00:00:00
35,Made in Abyss,TV,13,false,Summer,2017-01-01 00:00:00,2017-01-01 00:00:00
36,Hajime no Ippo: New Challenger,TV,26,false,Winter,2009-01-01 00:00:00,2009-01-01 00:00:00
37,Haikyuu!!,TV,25,false,Spring,2014-01-01 00:00:00,2014-01-01 00:00:00
38,Natsume's Book of Friends Season 5,TV,11,false,Fall,2016-01-01 00:00:00,2016-01-01 00:00:00
39,Hajime no Ippo: The Fighting!,TV,75,false,Fall,2000-01-01 00:00:00,2002-01-01 00:00:00
40,Howl's Moving Castle,Movie,1,false,,2004-01-01 00:00:00,2004-01-01 00:00:00
41,Code Geass: Lelouch of the Rebellion,TV,25,false,Fall,2006-01-01 00:00:00,2007-01-01 00:00:00
42,Descending Stories: Shouwa Genroku Rakugo Shinjuu,TV,12,false,Winter,2017-01-01 00:00:00,2017-01-01 00:00:00
43,Kizumonogatari Movie 3: Reiketsu,Movie,1,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
44,JoJo's Bizarre Adventure: Golden Wind,TV,39,false,Fall,2018-01-01 00:00:00,2019-01-01 00:00:00
45,Princess Mononoke,Movie,1,false,,1997-01-01 00:00:00,1997-01-01 00:00:00
46,Monogatari Series: Second Season,TV,26,false,Summer,2013-01-01 00:00:00,2013-01-01 00:00:00
47,Douluo Dalu 2,Web,82,true,,2018-01-01 00:00:00,
48,Gintama: Porori-hen,TV,13,false,Fall,2017-01-01 00:00:00,2017-01-01 00:00:00
49,My Hero Academia 4,TV,25,false,Fall,2019-01-01 00:00:00,2020-01-01 00:00:00
50,Owarimonogatari (2017),TV Special,3,false,,2017-01-01 00:00:00,2017-01-01 00:00:00
51,Weathering With You,Movie,1,false,,2019-01-01 00:00:00,2019-01-01 00:00:00
52,Luo Xiao Hei Zhan Ji Movie,Movie,1,false,,2019-01-01 00:00:00,2019-01-01 00:00:00
53,KonoSuba â€“ Godâ€™s blessing on this wonderful world! Movie: Legend of Crimson,Movie,1,false,,2019-01-01 00:00:00,2019-01-01 00:00:00
54,Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,false,,2015-01-01 00:00:00,2015-01-01 00:00:00
55,Assassination Classroom 2nd Season,TV,25,false,Winter,2016-01-01 00:00:00,2016-01-01 00:00:00
56,Rurouni Kenshin: Tsuiokuhen,OVA,4,false,,1999-01-01 00:00:00,1999-01-01 00:00:00
57,Natsume's Book of Friends Season 3,TV,13,false,Summer,2011-01-01 00:00:00,2011-01-01 00:00:00
58,Mushishi: Hihamukage,TV Special,1,false,,2014-01-01 00:00:00,2014-01-01 00:00:00
59,Mo Dao Zu Shi,Web,15,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
60,The Disappearance of Haruhi Suzumiya,Movie,1,false,,2010-01-01 00:00:00,2010-01-01 00:00:00
61,Hajime no Ippo: Rising,TV,25,false,Fall,2013-01-01 00:00:00,2014-01-01 00:00:00
62,Fate/Zero 2,TV,12,false,Spring,2012-01-01 00:00:00,2012-01-01 00:00:00
63,Cowboy Bebop,TV,26,false,Spring,1998-01-01 00:00:00,1999-01-01 00:00:00
64,The Garden of Sinners Movie 5: Paradox Paradigm,Movie,1,false,,2008-01-01 00:00:00,2008-01-01 00:00:00
65,ERASED,TV,12,false,Winter,2016-01-01 00:00:00,2016-01-01 00:00:00
66,Mo Dao Zu Shi 2,Web,8,false,,2019-01-01 00:00:00,2019-01-01 00:00:00
67,I Want to Eat Your Pancreas,Movie,1,false,,2018-01-01 00:00:00,2018-01-01 00:00:00
68,Bunny Drop,TV,11,false,Summer,2011-01-01 00:00:00,2011-01-01 00:00:00
69,Dr. Stone,TV,24,false,Summer,2019-01-01 00:00:00,2019-01-01 00:00:00
70,The Disastrous Life of Saiki K. 2nd Season,TV,24,false,Winter,2018-01-01 00:00:00,2018-01-01 00:00:00
71,Fruits Basket 2nd Season,TV,10,true,Spring,2020-01-01 00:00:00,
72,Hotarubi no Mori e,Movie,1,false,,2011-01-01 00:00:00,2011-01-01 00:00:00
73,Yona of the Dawn: Zeno Arc,OVA,2,false,,2016-01-01 00:00:00,2016-01-01 00:00:00
74,Great Teacher Onizuka,TV,43,false,Summer,1999-01-01 00:00:00,2000-01-01 00:00:00
