Index,Anime Index,Genre
1,1,Action
2,1,Adventure
3,1,Drama
4,1,Fantasy
5,1,Mystery
6,1,Shounen
7,1,Conspiracy
8,1,Military
9,1,Siblings
10,1,Based on a Manga
11,2,Drama
12,2,Romance
13,2,Body Swapping
14,2,Gender Bender
15,2,Opposites Attract
16,2,School Life
17,2,Supernatural
18,2,Original Work
19,3,Drama
20,3,Shounen
21,3,Disability
22,3,Melancholy
23,3,Mental Illness
24,3,School Life
25,3,Based on a Manga
26,4,Shounen
27,4,Sports
28,4,Animeism
29,4,School Club
30,4,School Life
31,4,Tournaments
32,4,Volleyball
33,4,Based on a Manga
34,5,Action
35,5,Fantasy
36,5,Horror
37,5,Shounen
38,5,Dark Fantasy
39,5,Isolated Society
40,5,Military
41,5,Outside World
42,5,Post-apocalyptic
43,5,Based on a Manga
44,6,Action
45,6,Adventure
46,6,Comedy
47,6,Drama
48,6,Fantasy
49,6,Shounen
50,6,Demons
51,6,Historical
52,6,Martial Arts
53,6,Orphans
54,6,Siblings
55,6,Based on a Manga
56,7,Shounen
57,7,Sports
58,7,School Club
59,7,School Life
60,7,Tournaments
61,7,Volleyball
62,7,Based on a Manga
63,8,Action
64,8,Adventure
65,8,Drama
66,8,Fantasy
67,8,Shounen
68,8,Monsters
69,8,Superpowers
70,8,Based on a Manga
71,9,Action
72,9,Comedy
73,9,Drama
74,9,Sci Fi
75,9,Shounen
76,9,Aliens
77,9,Feudal Japan
78,9,Samurai
79,9,Swordplay
80,9,Time Travel
81,9,Based on a Manga
82,10,Action
83,10,Comedy
84,10,Drama
85,10,Sci Fi
86,10,Shounen
87,10,Aliens
88,10,Breaking the Fourth Wall
89,10,Crude
90,10,Feudal Japan
91,10,Gag
92,10,Parody
93,10,Samurai
94,10,Slapstick
95,10,Swordplay
96,10,Based on a Manga
97,11,Action
98,11,Comedy
99,11,Shounen
100,11,Psychic Powers
101,11,Psychological
102,11,School Life
103,11,Supernatural
104,11,Superpowers
105,11,Based on a Manga
106,12,Sci Fi
107,12,Conspiracy
108,12,LGBT Themes
109,12,Psychological
110,12,Thriller
111,12,Time Travel
112,12,Based on a Visual Novel
113,13,Mecha
114,13,Sci Fi
115,13,Conspiracy
116,13,Mind Games
117,13,Overpowered Main Characters
118,13,Political
119,13,Psychological
120,13,Real Robot
121,13,Rebellions
122,13,Rivalries
123,13,Royalty
124,13,Superpowers
125,13,Terrorism
126,13,Original Work
127,14,Comedy
128,14,Drama
129,14,Romance
130,14,Seinen
131,14,Episodic
132,14,Love Confession
133,14,Mind Games
134,14,School Life
135,14,Student Council
136,14,Based on a Manga
137,15,Shounen
138,15,Sports
139,15,Animeism
140,15,School Club
