Index,Anime Index,Studio
1,1,Bones
2,2,CoMix Wave Films
3,3,Kyoto Animation
4,4,Production I.G
5,5,Wit Studio
6,6,ufotable
7,7,Production I.G
8,8,MADHOUSE
9,9,Sunrise
10,10,BN Pictures
11,11,Bones
12,12,WHITE FOX
13,13,Sunrise
14,14,A-1 Pictures
15,15,Production I.G
16,16,CloverWorks
17,17,Bones
18,18,Shaft
19,19,Artland
20,20,Bones
21,21,Shuka
22,22,Sunrise
23,23,BN Pictures
24,24,BN Pictures
25,25,Sunrise
26,26,MADHOUSE
27,27,Kyoto Animation
28,28,Studio Ghibli
29,29,Wit Studio
30,30,Artland
31,31,BN Pictures
32,32,Studio Chizu
33,33,CloverWorks
34,35,Kinema Citrus
35,36,MADHOUSE
36,37,Production I.G
37,38,Shuka
38,39,MADHOUSE
39,40,Studio Ghibli
40,41,Sunrise
41,42,Studio Deen
42,43,Shaft
43,44,David Production
44,45,Studio Ghibli
45,46,Shaft
46,48,BN Pictures
47,49,Bones
48,50,Shaft
49,51,CoMix Wave Films
50,53,J.C. Staff
51,54,Artland
52,55,Lerche
53,56,Studio Deen
54,58,Artland
55,59,G.CMay Animation & Film
56,60,Kyoto Animation
57,61,Mappa
58,61,MADHOUSE
59,62,ufotable
60,63,Sunrise
61,64,ufotable
62,65,A-1 Pictures
63,66,G.CMay Animation & Film
64,67,Studio VOLN
65,68,Production I.G
66,69,TMS Entertainment
67,69,8 Pan
68,70,J.C. Staff
69,71,TMS Entertainment
70,71,8 Pan
71,73,Studio Pierrot
72,74,Studio Pierrot
73,76,A-1 Pictures
74,77,Artland
75,78,Kitty Film Mitaka Studio
76,78,Shaft
77,78,Mushi Production
78,78,Magic Bus
79,78,Artland
80,79,Shaft
81,80,Kyoto Animation
82,81,Production I.G
83,82,Wit Studio
84,83,MADHOUSE
85,84,David Production
86,85,J.C. Staff
87,86,Shuka
88,87,Bones
89,88,David Production
90,89,Kyoto Animation
91,90,8-Bit
92,91,Lerche
93,92,V1 Studio
94,92,TMS Entertainment
95,93,Production I.G
96,94,Studio NUT
97,95,WHITE FOX
98,96,Shuka
99,97,Studio Chizu
100,98,MADHOUSE
101,99,MADHOUSE
102,100,Synergy SP
103,101,J.C. Staff
104,102,TMS Entertainment
105,102,8 Pan
106,103,Kinema Citrus
107,104,Kinema Citrus
108,105,ufotable
109,106,Bones
110,107,Artland
111,108,ufotable
112,109,Wit Studio
113,110,Sunrise
114,111,Production I.G
115,112,Ajia-do
116,113,MADHOUSE
117,113,Graphinica
118,113,Satelight
119,114,Bones
120,115,G.CMay Animation & Film
121,117,J.C. Staff
122,118,J.C. Staff
123,119,Kinema Citrus
124,120,MADHOUSE
125,121,Production I.G
126,122,Studio Pierrot
127,122,St. Signpost
128,123,Bones
129,124,MADHOUSE
130,125,Shuka
131,126,Wit Studio
132,127,WHITE FOX
133,128,Studio Deen
134,129,Platinum Vision
135,130,Gainax
136,131,A-1 Pictures
137,132,MADHOUSE
138,133,A-1 Pictures
139,134,Production I.G
140,135,J.C. Staff
141,136,J.C. Staff
142,137,Tezuka Productions
143,137,Mappa
144,138,A-1 Pictures
145,139,MADHOUSE
146,140,Wit Studio
147,142,J.C. Staff
148,143,Studio Khara
149,144,Toei Animation
150,145,MADHOUSE
151,146,MADHOUSE
152,148,CloverWorks
153,149,V1 Studio
154,149,TMS Entertainment
155,150,J.C. Staff
156,151,WHITE FOX
157,152,BN Pictures
158,154,P.A. Works
159,155,A-1 Pictures
160,156,Shaft
161,157,Top Craft
162,158,ufotable
163,159,Mappa
164,159,Tezuka Productions
165,161,MADHOUSE
166,162,Production I.G
167,163,Bones
168,164,A-1 Pictures
169,165,Studio Ghibli
170,166,Studio Ghibli
171,167,J.C. Staff
172,169,Bones
173,170,A-1 Pictures
174,171,MADHOUSE
175,172,Bones
176,173,ufotable
177,174,Studio Hibari
178,175,Gainax
179,176,Sunrise
180,177,Manglobe
181,178,MADHOUSE
182,179,Bones
183,180,Kyoto Animation
184,181,Studio Hibari
185,182,CloverWorks
186,183,ufotable
187,184,A-1 Pictures
188,185,Production I.G
189,186,Synergy SP
190,187,Bones
191,188,A-1 Pictures
192,189,Tatsunoko Production
193,190,A-1 Pictures
194,191,Studio Pierrot
195,192,Toei Animation
196,193,J.C. Staff
197,194,A-1 Pictures
198,195,MADHOUSE
199,196,Shaft
200,197,Bones
201,198,Toei Animation
202,199,MADHOUSE
203,200,Synergy SP
204,201,XEBEC
205,201,AIC
206,202,Studio Deen
207,203,J.C. Staff
208,204,Production I.G
209,204,MADHOUSE
210,205,Production I.G
211,206,WHITE FOX
212,207,Bones
213,208,David Production
214,209,Shaft
215,210,Sunrise
216,211,Wit Studio
217,212,Production I.G
218,213,Sunrise
219,214,Nippon Animation
220,215,Production I.G
221,216,V1 Studio
222,216,TMS Entertainment
223,217,Studio Rikka
224,218,Studio Hibari
225,219,Studio Deen
226,220,Kyoto Animation
227,221,Toei Animation
228,222,Production I.G
229,223,Powerhouse Animation
230,223,Frederator Studios
231,224,Studio Pierrot
232,225,Synergy SP
233,226,MADHOUSE
234,227,Orange
235,228,Synergy SP
236,229,Wit Studio
237,230,Mappa
238,231,Shaft
239,232,Bones
240,233,TMS Entertainment
241,233,Double Eagle
242,234,Production I.G
243,235,TMS Entertainment
244,236,MADHOUSE
245,237,J.C. Staff
246,239,WHITE FOX
247,240,Toei Animation
248,241,Geno Studio
249,242,Powerhouse Animation
250,242,Frederator Studios
251,243,Production I.G
252,244,J.C. Staff
253,245,Studio Rikka
254,246,Hal Film Maker
255,247,Production I.G
256,248,V1 Studio
257,248,TMS Entertainment
258,249,A-1 Pictures
259,250,MADHOUSE
260,251,Shaft
261,252,ufotable
262,254,Science SARU
263,255,Nippon Animation
264,256,Production I.G
265,257,David Production
266,258,TMS Entertainment
267,259,Production I.G
268,260,A-1 Pictures
269,261,Studio 4Â°C
270,262,Mappa
271,263,Telecom Animation Film
272,264,P.A. Works
273,265,Shin-Ei Animation
274,266,Bridge
275,266,A-1 Pictures
276,267,MADHOUSE
277,268,MADHOUSE
278,270,Sunrise
279,271,MADHOUSE
280,272,MADHOUSE
281,273,Nippon Animation
282,275,TMS Entertainment
283,276,Production I.G
284,277,Ajia-do
285,278,Bridge
286,278,A-1 Pictures
287,278,CloverWorks
