Index,Anime Index,Warning
1,1,Animal Abuse
2,1,Mature Themes
3,1,Violence
4,1,Domestic Abuse
5,2,None
6,3,Bullying
7,3,Mature Themes
8,3,Suicide
9,4,None
10,5,Cannibalism
11,5,Explicit Violence
12,6,Violence
13,7,None
14,8,Violence
15,9,None
16,10,None
17,11,None
18,12,Mature Themes
19,12,Suicide
20,13,None
21,14,None
22,15,None
23,16,Mature Themes
24,16,Domestic Abuse
25,16,Self-Harm
26,17,Violence
27,18,Bullying
28,18,Emotional Abuse
29,19,None
30,20,Emotional Abuse
31,20,Mature Themes
32,20,Physical Abuse
33,20,Domestic Abuse
34,21,None
35,22,None
36,23,None
37,24,None
38,25,None
39,26,Explicit Violence
40,27,None
41,28,None
42,29,Violence
43,30,None
44,31,None
45,32,None
46,33,None
47,34,None
48,35,Explicit Violence
49,36,None
50,37,None
51,38,None
52,39,None
53,40,None
54,41,Nudity
55,41,Violence
56,42,None
57,43,Explicit Violence
58,43,Nudity
59,44,Animal Abuse
60,44,Mature Themes
61,45,None
62,46,Violence
63,47,None
64,48,None
65,49,Violence
66,50,None
67,51,None
68,52,None
69,53,None
70,54,None
71,55,None
72,56,Violence
73,57,None
74,58,None
75,59,Violence
76,60,None
77,61,None
78,62,Violence
79,63,Drug Use
80,63,Mature Themes
81,63,Nudity
82,63,Violence
83,64,None
84,65,Animal Abuse
85,65,Mature Themes
86,65,Physical Abuse
87,65,Domestic Abuse
88,66,Violence
89,67,None
90,68,None
91,69,None
92,70,None
93,71,None
94,72,None
95,73,Violence
96,74,Bullying
97,74,Emotional Abuse
98,75,None
99,76,Mature Themes
100,76,Physical Abuse
101,76,Domestic Abuse
102,77,None
103,78,Explicit Violence
104,79,Explicit Violence
105,80,None
106,81,None
107,82,Cannibalism
108,82,Explicit Violence
109,83,None
110,84,Animal Abuse
111,84,Mature Themes
112,84,Violence
113,85,None
114,86,None
115,87,None
116,88,Animal Abuse
117,88,Explicit Violence
118,88,Mature Themes
119,89,Violence
120,90,Violence
121,91,Mature Themes
122,91,Suicide
123,92,None
124,93,None
125,94,Violence
126,95,None
127,96,None
128,97,None
129,98,None
130,99,Animal Abuse
131,99,Bullying
132,99,Explicit Violence
133,99,Mature Themes
134,100,None
