Index,Anime Index,Status,Viewers,Rating
1,1,Watched,103707,4.702
2,1,Watching,14351,4.702
3,1,To-Watch,25810,4.702
4,1,Dropped,2656,4.702
5,2,Watched,58831,4.663
6,2,Watching,1453,4.663
7,2,To-Watch,21733,4.663
8,2,Dropped,124,4.663
9,3,Watched,45892,4.661
10,3,Watching,946,4.661
11,3,To-Watch,17148,4.661
12,3,Dropped,132,4.661
13,4,Watched,25134,4.66
14,4,Watching,2183,4.66
15,4,To-Watch,8082,4.66
16,4,Dropped,167,4.66
17,5,Watched,21308,4.65
18,5,Watching,3217,4.65
19,5,To-Watch,7864,4.65
20,5,Dropped,174,4.65
21,6,Watched,28708,4.647
22,6,Watching,10844,4.647
23,6,To-Watch,13156,4.647
24,6,Dropped,600,4.647
25,7,Watched,31329,4.639
26,7,Watching,3861,4.639
27,7,To-Watch,8664,4.639
28,7,Dropped,264,4.639
29,8,Watched,50195,4.635
30,8,Watching,17730,4.635
31,8,To-Watch,19219,4.635
32,8,Dropped,2132,4.635
33,9,Watched,8454,4.625
34,9,Watching,280,4.625
35,9,To-Watch,6624,4.625
36,9,Dropped,150,4.625
37,10,Watched,7862,4.622
38,10,Watching,3154,4.622
39,10,To-Watch,10565,4.622
40,10,Dropped,647,4.622
41,11,Watched,18421,4.621
42,11,Watching,3890,4.621
43,11,To-Watch,8132,4.621
44,11,Dropped,218,4.621
45,12,Watched,56275,4.618
46,12,Watching,6463,4.618
47,12,To-Watch,28541,4.618
48,12,Dropped,3063,4.618
49,13,Watched,83367,4.616
50,13,Watching,3327,4.616
51,13,To-Watch,13048,4.616
52,13,Dropped,1140,4.616
53,14,Watching,6368,4.617
54,14,To-Watch,5747,4.617
55,14,Dropped,96,4.617
56,15,Watched,6296,4.612
57,15,Watching,4434,4.612
58,15,To-Watch,6131,4.612
59,15,Dropped,66,4.612
60,16,Watched,23387,4.611
61,16,Watching,4711,4.611
62,16,To-Watch,11879,4.611
63,16,Dropped,511,4.611
64,17,Watched,47250,4.607
65,17,Watching,13292,4.607
66,17,To-Watch,12972,4.607
67,17,Dropped,390,4.607
68,18,Watched,4787,4.604
69,18,Watching,760,4.604
70,18,To-Watch,4185,4.604
71,18,Dropped,135,4.604
72,19,Watched,7494,4.601
73,19,Watching,795,4.601
74,19,To-Watch,7501,4.601
75,19,Dropped,214,4.601
76,20,Watched,64695,4.601
77,20,Watching,10533,4.601
78,20,To-Watch,12374,4.601
79,20,Dropped,431,4.601
80,21,Watched,4845,4.599
81,21,Watching,562,4.599
82,21,To-Watch,5411,4.599
83,21,Dropped,120,4.599
84,22,Watched,12770,4.599
85,22,Watching,2585,4.599
86,22,To-Watch,11703,4.599
87,22,Dropped,738,4.599
88,23,Watched,2973,4.599
89,23,Watching,574,4.599
90,23,To-Watch,3141,4.599
91,23,Dropped,80,4.599
92,24,Watched,6196,4.598
93,24,Watching,1200,4.598
94,24,To-Watch,6798,4.598
95,24,Dropped,280,4.598
96,25,Watched,10589,4.596
97,25,Watching,1103,4.596
98,25,To-Watch,8553,4.596
99,25,Dropped,351,4.596
100,26,Watched,85357,4.593
101,26,Watching,7342,4.593
102,26,To-Watch,12683,4.593
103,26,Dropped,1520,4.593
104,27,Watched,53568,4.59
105,27,Watching,2524,4.59
106,27,To-Watch,16703,4.59
107,27,Dropped,1260,4.59
108,28,Watched,115949,4.588
109,28,Watching,589,4.588
110,28,To-Watch,12388,4.588
111,28,Dropped,161,4.588
112,29,Watched,7707,4.586
113,29,Watching,3834,4.586
114,29,To-Watch,6870,4.586
115,29,Dropped,347,4.586
116,30,Watched,8421,4.584
117,30,Watching,874,4.584
118,30,To-Watch,8065,4.584
119,30,Dropped,274,4.584
120,31,Watched,3627,4.582
121,31,Watching,507,4.582
122,31,To-Watch,3271,4.582
123,31,Dropped,75,4.582
124,32,Watched,35896,4.578
125,32,Watching,538,4.578
126,32,To-Watch,15651,4.578
127,32,Dropped,130,4.578
128,33,Watched,3963,4.573
129,33,Watching,229,4.573
130,33,To-Watch,5151,4.573
131,33,Dropped,44,4.573
132,34,Watched,10751,4.569
133,34,Watching,655,4.569
134,34,To-Watch,6964,4.569
135,34,Dropped,195,4.569
136,35,Watched,18351,4.566
137,35,Watching,2067,4.566
138,35,To-Watch,11108,4.566
139,35,Dropped,622,4.566
140,36,Watched,14016,4.565
141,36,Watching,865,4.565
142,36,To-Watch,3858,4.565
143,36,Dropped,220,4.565
144,37,Watched,39929,4.565
145,37,Watching,6332,4.565
146,37,To-Watch,11572,4.565
147,37,Dropped,952,4.565
148,38,Watched,5589,4.561
149,38,Watching,661,4.561
150,38,To-Watch,5097,4.561
151,38,Dropped,124,4.561
152,39,Watched,19646,4.56
153,39,Watching,1694,4.56
154,39,To-Watch,6429,4.56
155,39,Dropped,802,4.56
156,40,Watched,88642,4.557
157,40,Watching,359,4.557
158,40,To-Watch,10657,4.557
159,40,Dropped,97,4.557
160,41,Watched,98899,4.555
161,41,Watching,5442,4.555
162,41,To-Watch,17676,4.555
163,41,Dropped,3221,4.555
164,42,Watched,2642,4.553
165,42,Watching,493,4.553
166,42,To-Watch,3561,4.553
167,42,Dropped,184,4.553
168,43,Watched,6569,4.553
169,43,Watching,240,4.553
170,43,To-Watch,5642,4.553
171,43,Dropped,45,4.553
172,44,Watched,7802,4.552
173,44,Watching,4318,4.552
174,44,To-Watch,5563,4.552
175,44,Dropped,265,4.552
176,45,Watched,82562,4.551
177,45,Watching,383,4.551
178,45,To-Watch,12810,4.551
179,45,Dropped,173,4.551
180,46,Watched,14070,4.551
181,46,Watching,1795,4.551
182,46,To-Watch,6747,4.551
183,46,Dropped,274,4.551
184,47,Watching,1167,4.54
185,47,To-Watch,990,4.54
186,47,Dropped,32,4.54
187,48,Watched,3583,4.547
188,48,Watching,442,4.547
189,48,To-Watch,2737,4.547
190,48,Dropped,70,4.547
191,49,Watched,13759,4.547
192,49,Watching,15718,4.547
193,49,To-Watch,13617,4.547
194,49,Dropped,280,4.547
195,50,Watched,4318,4.545
196,50,Watching,233,4.545
197,50,To-Watch,4045,4.545
198,50,Dropped,70,4.545
199,51,Watched,4539,4.542
200,51,Watching,435,4.542
201,51,To-Watch,9954,4.542
202,51,Dropped,22,4.542
203,52,Watched,130,4.51
204,52,Watching,7,4.51
205,52,To-Watch,288,4.51
206,52,Dropped,4,4.51
207,53,Watched,6216,4.542
208,53,Watching,273,4.542
209,53,To-Watch,6323,4.542
210,53,Dropped,66,4.542
211,54,Watched,3502,4.541
212,54,Watching,97,4.541
213,54,To-Watch,4666,4.541
214,54,Dropped,41,4.541
215,55,Watched,33017,4.539
216,55,Watching,3811,4.539
217,55,To-Watch,9483,4.539
218,55,Dropped,633,4.539
219,56,Watched,30102,4.539
220,56,Watching,487,4.539
221,56,To-Watch,10665,4.539
222,56,Dropped,235,4.539
223,57,Watched,12091,4.538
224,57,Watching,804,4.538
225,57,To-Watch,6878,4.538
226,57,Dropped,208,4.538
227,58,Watched,6199,4.537
228,58,Watching,137,4.537
229,58,To-Watch,4025,4.537
230,58,Dropped,68,4.537
231,59,Watched,3250,4.535
232,59,Watching,806,4.535
233,59,To-Watch,3819,4.535
234,59,Dropped,185,4.535
235,60,Watched,28510,4.534
236,60,Watching,429,4.534
237,60,To-Watch,14241,4.534
238,60,Dropped,375,4.534
239,61,Watched,8489,4.533
240,61,Watching,561,4.533
241,61,To-Watch,2697,4.533
242,61,Dropped,111,4.533
243,62,Watched,33599,4.533
244,62,Watching,1420,4.533
245,62,To-Watch,11876,4.533
246,62,Dropped,384,4.533
247,63,Watched,71135,4.532
248,63,Watching,7002,4.532
249,63,To-Watch,22537,4.532
250,63,Dropped,2918,4.532
251,64,Watched,9496,4.531
252,64,Watching,158,4.531
253,64,To-Watch,4568,4.531
254,64,Dropped,60,4.531
255,65,Watched,47259,4.53
256,65,Watching,3855,4.53
257,65,To-Watch,18785,4.53
258,65,Dropped,636,4.53
259,66,Watched,1595,4.528
260,66,Watching,377,4.528
261,66,To-Watch,1808,4.528
262,66,Dropped,29,4.528
263,67,Watched,7349,4.528
264,67,Watching,337,4.528
265,67,To-Watch,9096,4.528
266,67,Dropped,44,4.528
267,68,Watched,21809,4.529
268,68,Watching,1533,4.529
269,68,To-Watch,11399,4.529
270,68,Dropped,545,4.529
271,69,Watched,17984,4.526
272,69,Watching,10330,4.526
273,69,To-Watch,8772,4.526
274,69,Dropped,961,4.526
275,70,Watched,9443,4.526
276,70,Watching,1455,4.526
277,70,To-Watch,3532,4.526
278,70,Dropped,127,4.526
279,71,Watching,4160,4.527
280,71,To-Watch,4427,4.527
281,71,Dropped,55,4.527
282,72,Watched,26893,4.525
283,72,Watching,350,4.525
284,72,To-Watch,12717,4.525
285,72,Dropped,64,4.525
286,73,Watched,5723,4.524
287,73,Watching,271,4.524
288,73,To-Watch,3474,4.524
289,73,Dropped,29,4.524
290,74,Watched,34465,4.523
291,74,Watching,3203,4.523
292,74,To-Watch,11537,4.523
293,74,Dropped,1924,4.523
294,75,Watched,13864,4.523
295,75,Watching,710,4.523
296,75,To-Watch,6836,4.523
297,75,Dropped,203,4.523
298,76,Watched,46037,4.522
299,76,Watching,5381,4.522
300,76,To-Watch,17173,4.522
301,76,Dropped,2256,4.522
302,77,Watched,4380,4.522
303,77,Watching,89,4.522
304,77,To-Watch,3105,4.522
305,77,Dropped,34,4.522
306,78,Watched,3389,4.52
307,78,Watching,1331,4.52
308,78,To-Watch,8011,4.52
309,78,Dropped,501,4.52
310,79,Watched,6999,4.52
311,79,Watching,152,4.52
312,79,To-Watch,4851,4.52
313,79,Dropped,27,4.52
314,80,Watched,2864,4.518
315,80,Watching,134,4.518
316,80,To-Watch,2945,4.518
317,80,Dropped,20,4.518
318,81,Watched,21276,4.518
319,81,Watching,2901,4.518
320,81,To-Watch,6037,4.518
321,81,Dropped,323,4.518
322,82,Watched,27910,4.516
323,82,Watching,4909,4.516
324,82,To-Watch,12016,4.516
325,82,Dropped,350,4.516
326,83,Watched,1196,4.515
327,83,Watching,882,4.515
328,83,To-Watch,2733,4.515
329,83,Dropped,44,4.515
330,84,Watched,13258,4.514
331,84,Watching,2812,4.514
332,84,To-Watch,5358,4.514
333,84,Dropped,322,4.514
334,85,Watched,13066,4.513
335,85,Watching,935,4.513
336,85,To-Watch,5397,4.513
337,85,Dropped,324,4.513
338,86,Watched,1131,4.512
339,86,Watching,68,4.512
340,86,To-Watch,2421,4.512
341,86,Dropped,17,4.512
342,87,Watched,78931,4.512
343,87,Watching,11022,4.512
344,87,To-Watch,16102,4.512
345,87,Dropped,959,4.512
346,88,Watched,15812,4.509
347,88,Watching,1910,4.509
348,88,To-Watch,4843,4.509
349,88,Dropped,203,4.509
350,89,Watched,20283,4.508
351,89,Watching,3216,4.508
352,89,To-Watch,10015,4.508
353,89,Dropped,1146,4.508
354,90,Watched,24765,4.507
355,90,Watching,8432,4.507
356,90,To-Watch,8392,4.507
357,90,Dropped,803,4.507
358,91,Watched,7106,4.508
359,91,Watching,1794,4.508
360,91,To-Watch,4260,4.508
361,91,Dropped,257,4.508
362,92,Watched,10021,4.507
