operator,rarity,class,promotion_level,level,hp,attack,defense,resistance,redeployment_time,dp_cost,block_count,attack_interval,cn_release_date,global_release_date,is_limited
Goldenglow,6.0,Caster,0,1,605,153,50,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,2,610,154,51,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,3,616,156,51,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,4,621,157,52,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,5,626,158,52,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,6,632,159,53,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,7,637,161,53,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,8,642,162,54,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,9,647,163,54,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,10,653,165,55,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,11,658,166,55,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,12,663,167,56,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,13,669,168,56,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,14,674,170,57,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,15,679,171,57,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,16,685,172,58,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,17,690,174,58,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,18,695,175,59,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,19,701,176,60,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,20,706,177,60,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,21,711,179,61,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,22,716,180,61,10,70,20,1,1.3,2/15/2022,N/A,0.0
Goldenglow,6.0,Caster,0,23,722,181,62,10,70,20,1,1.3,2/15/2022,N/A,0.0
