Date,Sales Amount
2016-06-26,323181
2019-01-05,462332
2016-05-01,349161
2018-07-16,378489
2018-05-24,135345
2020-06-02,128392
2017-02-10,439282
2017-09-05,135321
2020-06-25,8408
2019-10-12,142316
2018-09-23,14188
2020-02-05,194774
2016-06-15,492647
2020-10-17,469415
2019-05-12,319079
2016-12-14,304525
2018-02-05,454919
2019-10-27,264808
2018-10-15,470384
2020-09-14,167361
2017-04-14,440765
2020-07-01,373460
2017-12-17,399344
2017-07-18,392148
2016-05-16,81880
2018-05-15,191605
2017-06-22,52931
2018-05-03,74430
2017-02-27,84943
2020-08-25,164112
2016-01-31,379174
2017-08-08,1234
2016-03-18,137393
2019-03-12,447865
2016-09-03,807
2020-08-10,315241
2017-04-25,213087
2017-08-19,42294
2017-07-15,184124
2020-12-23,81173
2019-09-22,196982
2019-07-31,349474
2019-12-18,371573
2017-09-16,154314
2020-01-04,408898
2019-08-09,1856
2016-01-04,461038
2017-04-13,257985
2020-03-26,485440
2019-09-26,187099
2020-12-11,26949
2020-12-21,183139
2020-09-28,98865
2016-08-04,246701
2016-10-30,374763
2017-04-21,65001
2020-12-02,100999
2020-09-29,420234
2019-12-06,405935
2016-02-22,131085
2018-06-15,303548
2020-08-24,484548
2018-11-20,149249
2017-06-21,358168
2020-09-22,181371
2020-06-12,252208
2020-02-19,200431
2019-02-05,58156
2020-07-11,281269
2017-03-05,338204
2018-05-22,80093
2020-03-06,323648
2019-02-18,181041
2017-11-06,216510
2020-02-17,265244
2018-04-16,205179
2017-06-27,231500
2020-12-09,297274
2016-05-24,108464
2018-06-25,27091
2018-02-18,283789
2020-07-17,312095
2019-12-13,287776
2017-07-25,38884
2017-05-17,383867
2017-03-14,374013
2020-10-20,499253
2017-06-22,385280
2020-10-30,365759
2019-05-19,367249
2018-10-05,413390
2020-10-27,52034
2019-03-08,178187
2018-06-15,1050
2019-11-23,147013
2016-09-20,204816
2019-06-12,425159
2018-07-22,90809
2020-06-08,372233
2016-04-01,419632
2019-01-29,299070
2017-05-08,409890
2020-07-21,174814
2019-03-31,113613
2016-06-20,380946
2016-09-24,175681
2020-04-23,415337
2016-10-02,340400
2019-10-21,293286
2018-01-15,131458
2018-06-16,41784
2020-12-01,428978
2019-12-24,484513
2020-06-26,343093
2019-08-12,307194
2017-01-21,494633
2019-01-25,242523
2020-03-03,250217
2017-03-14,134324
2017-05-05,241366
2018-03-29,137665
2018-08-02,254991
2017-06-01,346821
2017-05-15,339987
2019-12-18,268898
2017-10-26,352397
2016-11-11,396783
2018-03-11,382623
2018-10-28,153084
2019-08-08,87019
2016-06-24,116102
2017-01-03,232900
2018-01-03,439212
2016-03-11,319045
2018-04-19,295805
2020-04-09,340096
2017-06-11,330564
2017-11-03,71838
2018-01-24,387065
2017-03-01,188616
2016-07-15,192495
2019-04-30,80282
2020-04-19,494142
2018-10-30,468930
2017-02-02,109894
2017-08-30,55202
2016-04-26,103430
2016-06-06,13641
2020-07-22,314751
2019-12-19,297504
2018-03-02,377693
2019-06-05,369326
2018-12-21,362388
2016-11-05,353814
2016-10-16,126539
2016-07-05,63621
2020-08-22,309743
2020-04-12,353242
2016-04-08,184017
2018-03-29,123491
2016-05-16,31800
2020-05-04,264350
2017-07-18,404476
2016-11-18,396841
2016-12-01,412831
2016-05-22,452749
2017-03-06,181953
2019-10-08,226928
2019-12-18,27365
2019-05-03,448785
2019-12-15,174231
2019-10-17,465745
2016-12-16,33969
2018-09-19,384228
2020-12-18,11469
2019-12-19,478325
2016-03-22,437401
2018-07-03,217487
2017-09-01,295849
2018-06-24,97141
2020-10-25,52698
2018-06-04,135945
2019-02-05,468831
2017-01-12,357363
2018-02-25,42611
2020-11-17,218743
2020-03-15,431480
2020-08-25,104634
2019-05-10,73667
2020-06-06,16606
2020-03-31,266229
2017-02-21,20085
2017-02-20,159884
2017-01-25,112389
2016-10-09,402678
2016-12-17,347951
2017-04-20,27321
2018-11-16,101160
2020-08-30,470565
2017-06-19,85017
2017-08-08,346666
2019-06-15,374652
2016-10-04,355240
2018-12-03,33861
2018-03-02,117007
2017-08-02,38736
2016-06-06,280079
2019-12-07,345365
2018-03-22,423130
2019-05-26,12215
2017-04-05,85592
2016-08-13,198662
2020-03-28,251892
2016-07-16,80176
2018-09-15,147469
2018-12-10,213652
2016-07-27,216775
2018-09-11,187209
2019-01-22,393907
2019-11-15,87431
2019-05-07,166691
2018-07-18,274840
2018-02-25,58254
2017-10-03,93947
2016-12-23,163177
2019-07-16,185829
2020-12-17,369005
2020-05-24,191943
2020-07-03,345525
2020-02-12,270522
2019-12-05,158973
2020-08-03,479480
2016-10-11,444985
2020-08-09,329137
2020-03-22,246958
2018-09-09,386819
2020-03-21,468783
2018-03-18,193333
2017-04-17,27018
2017-02-09,468999
2019-11-23,329380
2016-03-19,188327
2016-02-28,472731
2019-06-09,172282
2020-03-15,256530
2018-04-22,52060
2016-11-07,437102
2019-11-28,230422
2016-02-01,331554
2019-07-25,286757
2016-02-06,412898
2018-09-21,365443
2019-10-15,387545
2019-03-21,292067
2017-09-24,393931
2016-01-18,99751
2016-03-11,342261
2019-08-14,399627
2016-02-07,337489
2019-07-12,397026
2016-05-16,265941
2016-12-24,5508
2016-03-07,489032
2020-03-28,299538
2017-01-27,432184
2019-03-07,189470
2016-05-11,457668
2018-06-21,480337
2017-12-16,119665
2019-02-04,8760
2017-04-07,236244
2020-11-14,174337
2019-02-25,54017
2017-09-17,471071
2019-05-31,440796
2016-11-20,312232
2018-03-06,119337
2019-07-16,58723
2019-01-09,305769
2017-11-29,291455
2017-04-07,134775
2020-03-26,398449
2020-01-14,263248
2016-12-08,149251
2019-06-10,34673
2016-11-30,8934
2018-01-11,462338
2017-07-31,144220
2020-05-21,95754
2019-08-23,277067
2016-05-02,40612
2016-04-01,261633
2017-03-22,256933
2016-04-07,363730
2017-10-18,217512
2017-12-25,374766
2018-04-18,254816
2017-04-27,411653
2020-05-09,186483
2018-11-12,486926
2019-01-07,205198
2017-11-15,40313
2019-09-01,186266
2018-07-30,323183
2020-02-11,135390
2019-10-08,83799
2018-07-18,176711
2017-06-14,493822
2018-01-23,81990
2019-07-19,356234
2016-05-20,429705
2020-08-28,3589
2017-03-23,207385
2019-07-18,462682
2016-01-27,263133
2018-02-04,257688
2020-04-23,280987
2016-07-06,270323
2016-10-05,186856
2019-01-30,184578
2018-01-23,397457
2020-07-07,223009
2019-02-10,473837
2016-06-02,137263
2020-08-28,72945
2017-03-04,193098
2019-12-13,182950
2018-06-22,87933
2018-12-17,248241
2018-03-07,377458
2018-01-15,474206
2020-05-10,132033
2018-07-28,368396
2019-05-28,117287
2018-09-19,284198
2020-11-02,308671
2017-01-15,483898
2018-08-28,79409
2020-06-23,440826
2020-09-21,87285
2018-01-10,257881
2016-06-05,421626
2018-03-03,134620
2019-12-18,71358
2018-05-06,249688
2019-02-06,420291
2016-07-01,343210
2017-12-31,461109
2018-11-16,90561
2016-12-31,196242
2018-08-03,411707
2018-01-09,424895
2018-03-26,57405
2020-02-20,301245
2017-06-10,379132
2018-11-24,457682
2020-03-02,124437
2020-05-17,5826
2017-03-13,460533
2017-06-20,381521
2016-10-31,482701
2020-07-11,419443
2019-11-15,24689
2018-01-11,52555
2016-06-03,151308
2017-04-10,323493
2018-07-23,414481
2020-09-20,19098
2019-08-05,248306
2017-03-07,425305
2018-05-28,147073
2019-08-20,387264
2020-08-16,44830
2017-03-20,104857
2016-08-07,88820
2020-12-27,192741
2017-09-25,230310
2019-05-29,466458
2018-03-07,333435
2019-07-03,23522
2016-12-29,185977
2016-04-12,275318
2019-11-13,413272
2016-01-07,225151
2020-10-19,294645
2016-02-21,224448
2018-08-28,237968
2016-07-07,437944
2019-04-28,323761
2018-03-15,260369
2017-10-19,211428
2019-01-07,430377
2017-06-13,296257
2016-12-12,7194
2018-10-18,263136
2020-08-06,85286
2018-12-01,326666
2016-09-03,67749
2017-01-14,412908
2020-10-17,30015
2018-05-20,172637
2019-08-21,266308
2018-03-30,202013
2020-01-03,339977
2018-10-06,297935
2018-08-04,63976
2016-10-23,461796
2017-09-09,401511
2018-12-20,155459
2017-05-20,426738
2019-07-01,108004
2016-09-23,196056
2018-11-24,208270
2016-01-26,473056
2019-08-09,426293
2017-02-01,301807
2016-12-30,284547
2019-01-19,25050
2020-03-17,334572
2016-11-22,425302
2019-01-08,313391
2019-08-05,168399
2019-03-05,352262
2019-03-08,324964
2018-07-02,117959
2017-01-11,279648
2018-10-04,1240
2017-09-21,415524
2018-09-14,123814
2019-11-11,40719
2020-10-27,259594
2019-12-26,211535
2019-06-14,350573
2019-01-18,137145
2017-10-14,337748
2019-03-31,190484
2020-05-25,195241
2017-03-28,293327
2018-03-12,231916
2020-06-12,408622
2016-10-10,119294
2020-04-13,449937
2019-07-21,393502
2018-05-27,100275
2018-01-05,140342
2020-06-05,465972
2017-12-24,320145
2020-12-01,157139
2016-03-20,20239
2017-05-24,457769
2020-01-26,18315
2018-01-01,197398
2016-01-30,8740
2019-03-09,53791
2019-08-15,289126
2016-09-12,158931
2018-10-02,430466
2019-01-01,141631
2016-10-26,6900
2016-02-01,217277
2016-02-29,176151
2017-08-12,360685
2016-06-07,312530
2018-05-22,125457
2017-04-24,134420
2017-05-12,57091
2019-04-23,250878
2018-08-23,328840
2019-09-12,306058
2020-03-15,293473
2019-05-19,197829
2017-06-04,169110
2020-11-24,210777
2017-07-06,142280
2019-04-21,466919
2019-06-09,259570
2017-11-01,8677
2017-01-10,86768
2019-10-11,183941
2020-11-25,356699
2018-04-05,452130
2016-03-21,8245
2018-04-07,298597
2018-01-30,355298
2018-09-30,90014
2019-07-08,336394
2020-07-09,226411
2020-11-02,145731
2020-11-02,78725
2018-12-22,159411
2018-03-03,377978
2017-04-16,56056
2019-04-11,331624
2018-04-22,328312
2017-06-29,367664
2018-05-02,319068
2016-03-05,354886
2016-01-21,18491
2016-07-18,255586
2017-12-17,157681
2016-04-23,165837
2020-03-25,123166
2019-09-08,110845
2018-01-22,341251
2020-12-13,344101
2018-11-30,52058
2019-06-18,249572
2020-09-02,453213
2016-08-14,420316
2018-02-03,252934
2020-04-17,109053
2020-07-20,193227
2016-10-25,35121
2020-08-26,47127
2018-02-02,202403
2020-12-17,399792
2017-11-19,334030
2019-01-22,70042
2020-09-05,271395
2017-05-04,268328
2020-07-02,148153
2019-12-20,290331
2018-07-04,32885
2020-07-17,457930
2016-09-28,448316
2019-02-23,233955
2016-10-23,316641
2018-04-17,21497
2017-09-26,35622
2019-06-29,407854
2018-05-05,33114
2019-03-22,8000
2019-12-08,133451
2019-11-07,421711
2017-10-24,220309
2016-09-19,328587
2018-04-29,139339
2018-09-14,228032
2020-01-23,295022
2017-06-17,152715
2016-10-11,386143
2017-08-29,348707
2016-03-18,288146
2019-01-24,126675
2017-07-14,430376
2019-02-13,379784
2017-05-09,448901
2017-03-20,420340
2020-03-18,188878
2018-07-14,104920
2020-10-12,192130
2018-04-02,284187
2016-04-26,75242
2020-09-25,222040
2018-02-17,272006
2016-03-26,166393
2019-02-27,67998
2017-11-22,405222
2017-11-02,474339
2018-05-23,485346
2016-10-16,30610
2019-06-28,54868
2016-09-08,351140
2019-07-17,489139
2017-11-19,151833
2017-04-13,120510
2016-10-02,227462
2017-04-20,399252
2020-06-27,168134
2019-05-27,102837
2020-05-14,324682
2019-01-17,92545
2018-04-08,237214
2020-04-12,315596
2016-04-01,434944
2018-08-19,65785
2018-01-08,70151
2017-03-17,297054
2020-01-16,125014
2020-02-13,16264
2018-07-25,85331
2018-06-27,379053
2016-06-03,197271
2019-02-16,140488
2018-08-04,269652
2018-01-02,445790
2017-11-10,91412
2016-03-02,405736
2020-10-02,338482
2016-05-13,23504
2016-01-20,354157
2018-09-18,238893
2018-05-04,196386
2018-09-05,291206
2018-09-29,70832
2016-03-30,84054
2018-07-16,336551
2016-09-26,75689
2016-02-26,349986
2019-10-04,194456
2018-09-18,275330
2017-07-04,152466
2020-03-03,254072
2020-12-21,230518
2016-07-29,27566
2019-05-08,311025
2018-01-12,182037
2020-06-28,148296
2020-05-18,496885
2016-06-10,466785
2018-01-01,489883
2016-12-03,231649
2016-02-08,245414
2017-12-15,396407
2016-06-02,258938
2018-03-30,304387
2020-07-26,495066
2016-11-20,123734
2020-09-24,475303
2019-12-31,393075
2018-06-10,205770
2019-02-18,178961
2016-01-15,307003
2016-12-24,336690
2017-03-14,454106
2016-07-09,193921
2018-02-19,138310
2019-12-25,186378
2016-08-04,204830
2020-07-05,380600
2017-03-19,197304
2020-03-12,128303
2018-09-25,336980
2017-01-02,198239
2018-07-17,410350
2020-01-14,406811
2020-07-14,2698
2016-11-03,412880
2018-08-25,219652
2019-01-16,213913
2019-05-04,484825
2016-12-30,118651
2018-11-12,238124
2019-12-09,247403
2020-10-02,498765
2019-08-11,73565
2016-05-20,58510
2017-08-10,437167
2019-06-21,354409
2020-09-13,476330
2017-03-30,299539
2019-05-23,142432
2018-10-12,358260
2016-09-25,178517
2020-12-05,412104
2016-04-06,166222
2018-08-20,163182
2016-10-19,51555
2018-11-21,122174
2019-04-03,325495
2017-07-22,76653
2020-03-13,157786
2019-03-18,397183
2017-11-25,100878
2017-07-13,469069
2020-03-23,320677
2016-11-21,486799
2019-12-24,474223
2016-08-17,240971
2017-12-12,284434
2019-05-20,232128
2018-03-27,19827
2017-07-16,294902
2019-06-06,389678
2016-02-15,265123
2016-11-12,346485
2018-03-24,14555
2016-10-04,398645
2020-01-08,166383
2018-01-24,261287
2017-04-26,131274
2019-01-17,267426
2017-12-29,451464
2018-08-01,349951
2017-11-09,153882
2020-05-07,411396
2020-11-20,190089
2016-11-25,408825
2020-01-11,23014
2020-03-30,350210
2017-10-14,137911
2020-06-04,495527
2017-04-14,497307
2017-12-07,263288
2016-05-29,19728
2019-02-15,327909
2016-06-11,370601
2018-07-02,60306
2016-02-12,190536
2020-05-16,343125
2017-06-02,181680
2016-08-21,94879
2017-06-21,222882
2017-06-09,36838
2018-08-01,269349
2020-11-23,471839
2016-01-09,295756
2017-05-23,56793
2019-03-28,274721
2019-12-27,151369
2017-03-31,338530
2017-03-17,197830
2017-08-09,299954
2016-01-25,329780
2016-10-19,216681
2019-08-13,334692
2017-02-13,52630
2017-09-06,229862
2017-11-01,343300
2020-04-24,170511
2016-01-25,369024
2020-02-24,70060
2020-05-14,292765
2017-05-31,432463
2016-07-25,226444
2020-05-01,218639
2020-09-20,70768
2018-10-13,75138
2019-08-27,241053
2020-05-13,376110
2018-07-27,468602
2016-01-24,315425
2019-01-26,335371
2019-11-04,416216
2018-10-25,71662
2017-07-08,163180
2020-09-24,219965
2018-03-25,43005
2020-02-29,363177
2020-07-20,264456
2016-01-16,449298
2019-05-07,499309
2016-01-20,177348
2018-07-08,388614
2018-09-11,373807
2016-07-05,359056
2016-08-24,463030
2020-04-12,42171
2020-11-23,338171
2017-07-06,13754
2016-06-21,42740
2016-08-17,488100
2020-08-17,223967
2020-10-29,108916
2019-05-04,10116
2020-09-08,206430
2016-09-19,41645
2019-03-10,59615
2018-01-10,486044
2019-12-03,240933
2020-03-29,250875
2017-07-02,310959
2019-03-30,18135
2020-09-29,34516
2020-07-15,429652
2016-01-11,317107
2017-05-14,259948
2020-09-26,203289
2019-08-04,176253
2016-12-14,127576
2017-04-17,145904
2020-03-18,296297
2020-07-02,395779
2019-10-05,169476
2017-11-30,99104
2020-11-14,152880
2017-02-17,141188
2019-11-05,455066
2020-07-01,210752
2019-12-19,360214
2019-06-02,191883
2019-03-16,339702
2017-10-12,40718
2020-11-28,381849
2019-05-16,265612
2018-06-02,395329
2017-03-23,320991
2019-03-11,481406
2017-02-28,303999
2020-07-18,442148
2019-02-24,287945
2017-02-14,314644
2019-07-30,369208
2020-05-06,382645
2020-02-25,347373
2017-03-15,40807
2016-08-31,449144
2020-11-03,431978
2017-02-21,325817
2017-12-05,487985
2020-01-03,482351
2018-08-27,16821
2018-03-12,192657
2018-11-07,159804
2017-10-29,288573
2016-06-25,237869
2016-01-29,193720
2020-04-30,102862
2020-07-27,374974
2020-07-15,246237
2019-02-04,46012
2020-01-03,300163
2019-11-24,300268
2016-04-28,486873
2018-02-26,211262
2016-07-08,453341
2020-05-31,220356
2016-09-22,465328
2019-07-25,177724
2020-06-08,17412
2019-02-25,398636
2017-09-24,76230
2016-07-31,169323
2019-10-14,180005
2017-03-22,177793
2018-12-05,8449
2019-08-02,440485
2019-09-03,441795
2018-09-17,159932
2017-10-03,101199
2018-02-23,26136
2016-01-18,122824
2017-09-07,209703
2017-02-07,494416
2019-05-28,337137
2017-05-11,294582
2018-12-13,14102
2016-01-23,465557
2020-09-15,85207
2016-12-06,135604
2018-07-29,331403
2019-10-28,288350
2020-09-09,469345
2020-12-17,161624
2016-02-18,34375
2016-11-30,217056
2020-01-24,495074
2017-06-18,397466
2020-12-06,415665
2019-02-01,307783
2018-05-08,195481
2018-02-18,464953
2017-07-28,281827
2019-08-27,157060
2018-03-11,176559
2019-02-16,189874
2020-04-18,159725
2016-03-30,298056
2018-03-18,224567
2018-06-24,119107
2019-01-05,454155
2016-06-14,102737
2016-08-01,352516
2016-12-28,391609
2018-03-06,195346
2017-07-17,421558
2018-03-24,258698
2016-12-21,171613
2017-08-15,476864
2017-10-24,379376
2019-10-26,308823
2018-07-26,176462
2016-06-14,405769
2018-03-10,184112
2020-10-16,58082
2019-11-15,233815
2019-04-29,132135
2020-02-15,477762
2016-09-10,494286
2016-11-02,472336
2016-03-16,271432
2017-12-21,436949
2017-11-09,476284
2020-03-08,256831
2019-01-03,206510
2018-01-25,372709
2020-02-08,169193
2016-09-24,29058
2017-08-27,139512
2018-05-26,8314
2016-09-28,288340
2016-12-30,221108
2019-05-27,172526
2017-01-25,110483
2016-08-20,452263
2016-08-10,175544
2017-09-19,466782
2019-08-28,51844
2018-10-20,265396
2019-05-26,197392
2016-06-27,163615
2017-03-19,196137
2017-02-12,351244
2018-08-14,210412
2020-06-05,116666
2016-10-26,464863
2017-10-11,382065
2018-06-20,300657
2018-02-25,470318
2016-05-29,44972
2020-12-25,232200
2018-01-24,79084
2017-06-15,96337
2016-07-09,99568
2017-05-01,27908
2016-06-15,303675
2018-05-26,197277
2020-07-26,123048
2019-07-28,274113
2016-04-17,348728
2020-01-19,173306
2019-12-12,830
2020-09-19,414680
2020-04-21,440394
2019-06-01,382951
2019-10-10,490868
2017-05-11,164851
2017-12-27,393654
2019-05-18,465820
2018-08-09,101637
2016-03-25,411787
2020-07-20,198477
2019-05-07,256500
2019-01-02,395677
2018-09-18,120043
2017-03-23,31382
2017-06-16,122251
2020-09-06,250662
2017-09-12,43167
2016-05-22,157768
2017-09-16,11896
2016-06-15,418325
2017-09-23,414462
2016-07-12,266649
2020-08-23,241511
2017-06-11,147937
2016-10-21,7121
2018-01-25,401684
2018-12-28,371511
2016-11-25,22402
2018-05-11,319467
2016-03-08,372113
2020-11-12,470566
2018-11-12,221432
2020-07-20,107452
2018-12-15,54817
2018-03-10,499107
2018-05-27,55617
2017-06-21,61991
2020-01-07,15250
2018-04-27,293429
2016-03-20,10215
2017-05-02,279596
2016-11-20,392230
2020-07-10,302325
2018-06-05,443698
2016-03-02,164223
2018-04-13,100394
2019-01-18,338793
2020-10-09,102816
2017-08-13,252712
2019-01-18,194219
2020-02-22,473178
2017-06-28,229990
2020-08-02,153254
2019-12-12,69121
2020-12-07,443391
2020-07-06,475312
2018-08-22,37024
2016-03-07,342761
2017-07-19,432164
2017-11-30,284365
2019-08-31,455424
2018-11-06,219218
2019-02-20,147498
2016-11-12,8266
2016-12-26,478830
2016-11-29,324799
2016-03-12,391495
2018-11-14,207461
2019-02-03,91003
2020-08-25,40149
2017-02-20,144210
2016-01-27,204553
2018-02-16,470110
2019-05-03,488612
2020-11-15,234162
2017-12-28,89282
2019-12-23,6768
2018-10-18,423826
2018-11-24,436212
2020-07-31,58857
2017-01-03,303916
2018-03-08,439410
2019-12-15,461225
2019-09-17,341824
2019-08-10,419666
2016-07-08,115941
2016-10-05,420503
2017-11-30,465422
2016-05-29,39563
2019-12-29,292464
2017-06-15,97670
2018-12-27,292103
2018-03-25,222802
2017-06-30,313869
2020-02-16,85679
2020-03-14,461384
2018-12-27,145850
2019-08-28,13739
2018-04-24,257436
2017-01-30,492766
2016-04-12,113748
2019-08-19,63427
2016-05-24,100160
2019-10-25,347605
2020-12-13,274800
2016-10-12,24251
2017-10-02,85288
2018-04-30,344979
2016-01-24,61464
2016-04-09,304052
2016-09-02,462289
2018-08-05,97325
2019-04-13,380618
2020-04-21,409137
2016-09-17,308115
2017-10-30,448241
2020-04-09,254653
2018-03-22,453606
2017-11-24,286962
2020-09-07,39514
2017-07-13,225184
2019-12-26,95032
2019-10-09,300146
2016-08-02,396872
2018-10-03,368427
2019-03-17,396468
2017-11-20,155102
2016-09-09,143450
2019-07-07,32906
2020-01-07,268783
2020-09-01,425182
2020-02-01,449916
2019-11-26,60655
2018-05-06,254448
2020-01-25,177766
2016-02-10,244196
2017-01-03,13133
2016-10-08,45887
2019-05-17,252205
2017-10-25,38834
2016-10-31,198092
2018-05-16,147930
2016-02-17,417331
2017-01-25,2696
2019-09-06,37537
2019-01-20,488747
2017-05-23,336784
2018-05-10,308640
2017-01-19,187546
2016-05-07,489115
2016-07-16,10008
2020-02-10,337780
2018-05-13,216568
2018-04-06,173274
2020-10-29,253717
2016-05-15,441243
2016-07-14,136398
2016-08-30,291098
2016-09-28,365196
2019-06-29,366795
2020-11-27,103235
2018-03-04,455135
2019-03-14,261314
2017-08-24,337669
2019-05-21,414483
2020-02-07,100137
2018-01-10,289141
2016-07-19,3744
2019-12-21,475748
2019-05-29,86053
2020-07-02,106749
2016-09-01,368979
2016-03-07,298861
2019-07-10,127534
