Index,Season,Year,Name,Studio,Episodes,Episode Duration,Genres,Release Date,Source,Score
1,winter,1907,Katsudou Shashin,,1,,,2558,Original,
2,spring,1917,Saru to Kani no Gassen,,1,,Drama,6350,Source Unknown,
3,summer,1917,Namakura Gatana,,1,,"Samurai,Comedy",6391,Original,
4,winter,1929,Issunboushi no Shusse,,1,,Supernatural,10594,Source Unknown,
8,winter,1931,Ahiru no Otegara,,1,,Adventure,11324,Original,
7,winter,1931,Kuro Nyago,,1,,Fantasy,11293,Source Unknown,
6,winter,1931,Nezumi no Rusuban,,1,,Action,11324,Source Unknown,
5,winter,1931,Urashima Tarou (1931),,1,,Action,11324,Other,
9,winter,1932,Dankichi-jima no Olympic Taikai,,1,,"Sports,Action",11689,Source Unknown,
11,spring,1934,Omocha Bako Series Dai 3 Wa: Ehon 1936-nen,,1,,Fantasy,12522,Other,
12,summer,1934,Genroku Koi Moyou: Sankichi to Osayo,,1,,"Romance,Adventure",12593,Original,
10,winter,1934,Bouken Dankichi: Hyouryuu no Maki,,1,,Adventure,12420,Source Unknown,
13,winter,1935,Shoujouji no Tanuki-bayashi Ban Danemon,,1,,Supernatural,12785,Original,
14,winter,1936,Chinkoroheibei Tamatebako,,1,,"Kids,Fantasy,Comedy",13150,Source Unknown,
15,spring,1943,Kumo to Tulip,,1,,Adventure,15811,Source Unknown,
16,spring,1943,Momotarou no Umiwashi,,1,,"Military,Kids,Historical",15790,Source Unknown,
17,winter,1946,Sakura,,1,,Fantasy,16803,Source Unknown,
18,spring,1957,Koneko no Rakugaki,Toei Animation,1,,Comedy,20953,Source Unknown,
20,summer,1960,Saiyuuki,Toei Animation,1,88,Adventure,22142,Source Unknown,
19,winter,1960,3-tsu no Hanashi,,1,,Fantasy,21930,Source Unknown,
21,winter,1961,Kaguya-hime,,1,,"Kids,Historical",22282,Source Unknown,
22,winter,1962,Acchi Kocchi,,1,,Dementia,22647,Source Unknown,
23,winter,1962,Ningen Doubutsuen,,1,,Dementia,22647,Source Unknown,
27,spring,1963,Wanpaku Ouji no Orochi Taiji,Toei Animation,1,86,Adventure,23094,Source Unknown,
25,winter,1963,Ai,,1,,"Dementia,Romance,Psychological",23012,Source Unknown,
26,winter,1963,Mu Di,,1,,Music,23012,Source Unknown,
24,winter,1963,Tetsuwan Atom,Mushi Production,193,26,"Shounen,Sci-Fi,Mecha,Drama,Adventure,Action",23012,Manga,
32,summer,1964,Shounen Ninja Kaze no Fujimaru,Toei Animation,65,24,"Shounen,Samurai,Adventure,Action",23535,Source Unknown,
31,summer,1964,Tetsuwan Atom: Uchuu no Yuusha,Mushi Production,1,87,"Shounen,Sci-Fi,Mecha,Drama,Adventure,Action",23584,Original,
30,winter,1964,0-sen Hayato,,38,15,"Military,Historical",23397,Source Unknown,
28,winter,1964,Ookami Shounen Ken (Movie),Toei Animation,1,,"Kids,Adventure",23366,Source Unknown,
29,winter,1964,Wan Wan Chuushingura,Toei Animation,1,81,"Fantasy,Drama,Adventure,Action",23366,Source Unknown,
33,summer,1965,Wonder 3,,52,23,"Sci-Fi,Comedy,Adventure,Action",23899,Source Unknown,
36,summer,1966,Cyborg 009,Toei Animation,1,65,"Shounen,Sci-Fi,Drama,Adventure,Action",24309,Manga,
35,summer,1966,Jungle Taitei Movie,,1,75,"Shounen,Adventure",24319,Source Unknown,
34,winter,1966,Osomatsu-kun,Studio Zero,56,25,Comedy,24143,Manga,
41,spring,1967,Cyborg 009: Kaijuu Sensou,,1,60,"Sci-Fi,Adventure,Action",24550,Source Unknown,
39,spring,1967,Mach GoGoGo,Tatsunoko Production,52,23,"Sports,Shounen,Cars,Adventure",24564,Manga,
40,spring,1967,Perman,,54,25,"Comedy,Adventure",24564,Source Unknown,
42,spring,1967,Ribbon no Kishi,Mushi Production,52,23,"Romance,Mystery,Fantasy,Action",24564,Manga,
38,winter,1967,Alps no Shoujo Heidi Pilot,,1,,"Slice of Life,Drama,Comedy",24473,Source Unknown,
37,winter,1967,Heya,,1,,"Dementia,Comedy",24473,Source Unknown,
46,spring,1968,Andersen Monogatari,,1,80,"Kids,Fantasy,Drama",24916,Source Unknown,
44,spring,1968,Cyborg 009 (TV),Sunrise,26,24,"Shounen,Sci-Fi,Mecha,Adventure,Action",24933,Source Unknown,
45,spring,1968,Kaibutsu-kun,,49,25,"Horror,Comedy",24949,Source Unknown,
48,summer,1968,Gegege no Kitarou (1968 Movie),Toei Animation,1,,"Supernatural,Horror,Fantasy,Comedy,Adventure",25040,Source Unknown,
47,summer,1968,Taiyou no Ouji: Horus no Daibouken,Toei Animation,1,82,"Magic,Drama,Adventure",25040,Source Unknown,
43,winter,1968,Gegege no Kitarou (1968),Toei Animation,65,25,"Supernatural,Horror,Fantasy,Comedy,Adventure",24840,Manga,
51,spring,1969,Dororo to Hyakkimaru,Mushi Production,26,26,"Supernatural,Adventure,Action",25299,Manga,
52,summer,1969,Soratobu Yuureisen,Toei Animation,1,60,"Sci-Fi,Shounen,Mecha,Drama,Adventure,Action",25404,Source Unknown,
